,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
8074,F37490,5149.0,E,2.0,2022-02-28 09:56:46.893,2022-02-28,2022-02-22 00:00:00,2022-02-28,,2249.28,0.0,0
8075,F37491,6140.0,E,2.0,2022-02-28 10:39:35.117,2022-02-28,2022-02-16 00:00:00,2022-02-28,,1125.0,0.0,0
8076,F37492,8348.0,E,2.0,2022-02-28 10:47:55.250,2022-02-28,2022-02-18 00:00:00,2022-02-28,,2970.0000000000005,0.0,0
8078,F37494,1943.0,C,2.0,2022-02-28 11:34:00.367,2022-02-28,2022-02-28 00:00:00,2022-02-28,2022-02-28,89.68,0.0,0
8079,F37495,7098.0,E,2.0,2022-02-28 11:37:59.743,2022-02-28,2022-02-08 00:00:00,2022-02-28,,2500.8,0.0,0
8080,F37496,7098.0,C,2.0,2022-02-28 11:39:58.423,2022-02-28,2022-02-15 00:00:00,2022-02-28,2022-02-28,2500.8,0.0,0
8081,F37497,1943.0,C,2.0,2022-02-28 12:05:42.377,2022-02-28,2022-02-28 00:00:00,2022-02-28,2022-02-28,89.68,0.0,0
8082,F37498,8559.0,E,2.0,2022-02-28 12:20:28.167,2022-02-28,2022-02-25 00:00:00,2022-02-28,,1130.8000000000002,0.0,0
8083,F37499,8573.0,E,2.0,2022-02-28 12:25:29.833,2022-02-28,2022-02-28 00:00:00,2022-02-28,,997.5400000000001,0.0,0
8084,F37500,8249.0,E,2.0,2022-02-28 12:32:46.687,2022-02-28,2022-02-28 00:00:00,2022-02-28,,2508.7000000000003,0.0,0
8085,F37501,8589.0,E,2.0,2022-02-28 12:53:36.630,2022-02-28,2022-02-22 00:00:00,2022-02-28,,1293.1034,0.0,0
8086,F37502,8090.0,E,2.0,2022-02-28 13:00:04.477,2022-02-28,2022-03-02 00:00:00,2022-02-28,,2056.7000000000003,0.0,0
8087,F37503,5926.0,E,2.0,2022-02-28 13:04:47.740,2022-02-28,2022-02-15 00:00:00,2022-02-28,,431.03440000000006,0.0,0
8088,F37504,200.0,E,3.0,2022-02-28 13:11:06.277,2022-02-28,2022-02-08 00:00:00,2022-02-28,,1002.7500000000001,0.0,0
8089,F37505,692.0,E,2.0,2022-02-28 13:19:12.120,2022-02-28,2022-02-04 00:00:00,2022-02-28,,2300.0,0.0,0
8090,F37506,1757.0,E,2.0,2022-02-28 13:23:45.440,2022-02-28,2022-02-28 00:00:00,2022-02-28,,2586.21,0.0,0
8091,F37507,3108.0,E,2.0,2022-02-28 13:52:43.383,2022-02-28,2022-02-28 00:00:00,2022-02-28,,675.4,0.0,0
8092,F37508,6232.0,E,2.0,2022-02-28 14:46:56.940,2022-02-28,2022-02-28 00:00:00,2022-02-28,,941.3965,0.0,0
8094,F37510,6354.0,E,2.0,2022-02-28 15:10:31.887,2022-02-28,2022-03-04 00:00:00,2022-02-28,,3500.0000000000005,0.0,0
8095,F37511,8593.0,E,2.0,2022-02-28 15:20:58.040,2022-02-28,2022-02-28 00:00:00,2022-02-28,,218.97,0.0,0
8096,F37512,4766.0,E,2.0,2022-02-28 15:54:16.277,2022-02-28,2022-02-28 00:00:00,2022-02-28,,9450.0,0.0,0
8097,F37513,8584.0,E,2.0,2022-02-28 16:07:16.747,2022-02-28,2022-02-24 00:00:00,2022-02-28,,1156.5,0.0,0
8098,F37514,8585.0,E,2.0,2022-02-28 16:12:40.963,2022-02-28,2022-02-25 00:00:00,2022-02-28,,2976.7500000000005,0.0,0
8099,F37515,8591.0,E,2.0,2022-02-28 16:25:03.820,2022-02-28,2022-03-01 00:00:00,2022-02-28,,1076.1,0.0,0
8100,F37516,6179.0,E,3.0,2022-02-28 16:33:54.413,2022-02-28,2022-02-28 00:00:00,2022-02-28,,5951.700000000001,0.0,0
8101,F37517,8019.0,E,3.0,2022-02-28 16:50:01.033,2022-02-28,2022-02-18 00:00:00,2022-02-28,,4140.550000000001,0.0,0
8102,F37518,8592.0,E,1.0,2022-02-28 16:56:15.027,2022-02-28,2022-03-01 00:00:00,2022-02-28,,3689.6400000000003,0.0,0
8103,F37519,5150.0,E,3.0,2022-02-28 17:09:39.213,2022-02-28,2022-02-28 00:00:00,2022-02-28,,2040.0000000000002,0.0,0
8104,F37520,4527.0,E,2.0,2022-02-28 17:14:57.487,2022-02-28,2022-02-28 00:00:00,2022-02-28,,4315.0,0.0,0
8105,F37521,7098.0,E,2.0,2022-02-28 17:20:00.907,2022-02-28,2022-03-04 00:00:00,2022-02-28,,2500.8,0.0,0
8106,F37522,7098.0,E,2.0,2022-02-28 17:23:07.963,2022-02-28,2022-02-15 00:00:00,2022-02-28,,1875.862,0.0,0
8107,F37523,5926.0,E,2.0,2022-02-28 17:36:54.363,2022-02-28,2022-02-28 00:00:00,2022-02-28,,451.61,0.0,0
8108,F37524,5926.0,E,1.0,2022-02-28 17:41:34.787,2022-02-28,2022-02-26 00:00:00,2022-02-28,,757.6546000000001,0.0,0
